title,content,reason
米家,设备状态同步服务开启中,"App 自行取消, 0分钟前"
UniversalClipboardService,,
汪苏泷生日快乐🥳免费领小卡,帅气泷泷闪亮登场💖特别款可以看到吹蜡烛动态！搭配全天人气松饼堡，快来对暗号>>,
汪苏泷生日快乐🥳免费领小卡,帅气泷泷闪亮登场💖特别款可以看到吹蜡烛动态！搭配全天人气松饼堡，快来对暗号>>,"取消原因未知, 6分钟前"
钱包,小米智能卡正在运行中…,
语音唤醒,,
正在获取服务信息,,"取消原因未知, 6分钟前"
,,
全场景音乐服务,全场景音乐服务运行中,
“小米互联通信服务”正在运行,点按即可了解详情或停止应用。,
“跨屏协同服务”正在运行,点按即可了解详情或停止应用。,
拍了拍你,并开始播放《Flash Funk》,
拍了拍你,并开始播放《Flash Funk》,"被其他通知服务取消, 4分钟前"
张楚岚,给你发来：3条 [语音],
张楚岚,给你发来：3条 [语音],"被其他通知服务取消, 4分钟前"
🔔你有一条中奖通知,5克金条已就位，做任务免费抽！,
🔔你有一条中奖通知,5克金条已就位，做任务免费抽！,"取消原因未知, 6分钟前"
查找,正在处理...,
查找,正在处理...,"App 自行取消, 5分钟前"
交易提醒,你有一笔208.80元的支出，点击领取36个支付宝积分。,
交易提醒,你有一笔208.80元的支出，点击领取36个支付宝积分。,"取消原因未知, 22分钟前"
招商银行,您账户1662于09月12日10:36在【支付宝-温州瓯超网络科技有限公司】发生快捷支付扣款，人民币208.80,
招商银行,您账户1662于09月12日10:36在【支付宝-温州瓯超网络科技有限公司】发生快捷支付扣款，人民币208.80,"取消原因未知, 22分钟前"
试试问豆包,睡得少为什么反而不困,
试试问豆包,睡得少为什么反而不困,"取消原因未知, 23分钟前"
随身wifi吧（关注）,有没有懂的兄弟来看看,
随身wifi吧（关注）,有没有懂的兄弟来看看,"取消原因未知, 27分钟前"
付骢[火][表情],[2条]付骢[火][表情]: 我很少夸三丧的产品,
付骢[火][表情],[2条]付骢[火][表情]: 我很少夸三丧的产品,"取消原因未知, 29分钟前"
付骢[火][表情],你知道的,
“短信”正在运行,点按即可了解详情或停止应用。,"取消原因未知, 29分钟前"
腾势Z9GT EV新增版上市：售价为32.98万元,【腾势Z9GT EV】,
腾势Z9GT EV新增版上市：售价为32.98万元,【腾势Z9GT EV】,"取消原因未知, 32分钟前"
【你有即将获得的徽章】,电音曲风LV3获取进度已超过90%，快来升级吧,
【你有即将获得的徽章】,电音曲风LV3获取进度已超过90%，快来升级吧,"被其他通知服务取消, 29分钟前"
优惠券过期提醒,你有一张10.5元兑换券即将过期，赶紧去使用吧~如已使用请忽略,
优惠券过期提醒,你有一张10.5元兑换券即将过期，赶紧去使用吧~如已使用请忽略,"取消原因未知, 57分钟前"
查找,正在处理...,
查找,正在处理...,"取消原因未知, 1小时前"
这时候的体重还有印象吗？,「订阅故事已送达」2021年的今天，吃了不少美食→,"取消原因未知, 1小时前"
